iter	Passed	Remaining
0	145	145842
1	146	73209
2	147	48990
3	148	36857
4	148	29559
5	149	24689
6	149	21210
7	149	18599
8	150	16569
9	150	14945
10	151	13616
11	151	12508
12	152	11570
13	152	10769
14	153	10073
15	153	9464
16	154	8926
17	154	8448
18	155	8020
19	155	7634
20	156	7284
21	156	6966
22	157	6675
23	157	6407
24	158	6162
25	158	5935
26	158	5726
27	159	5531
28	159	5350
29	160	5182
30	160	5023
31	161	4875
32	161	4735
33	162	4604
34	162	4480
35	162	4363
36	163	4252
37	163	4146
38	164	4047
39	164	3953
40	165	3863
41	165	3777
42	166	3695
43	166	3617
44	166	3542
45	167	3470
46	167	3402
47	168	3336
48	168	3273
49	169	3213
50	169	3155
51	170	3099
52	170	3046
53	170	2994
54	171	2944
55	171	2896
56	172	2849
57	172	2804
58	173	2760
59	173	2718
60	173	2678
61	174	2638
62	174	2600
63	175	2563
64	175	2527
65	176	2493
66	176	2459
67	177	2426
68	177	2395
69	177	2364
70	178	2334
71	178	2305
72	179	2276
73	179	2248
74	180	2221
75	180	2195
76	181	2169
77	181	2145
78	181	2120
79	182	2097
80	182	2074
81	183	2051
82	183	2027
83	183	2005
84	184	1984
85	184	1965
86	185	1945
87	185	1925
88	186	1906
89	186	1887
90	187	1869
91	187	1851
92	188	1833
93	188	1817
94	189	1802
95	189	1785
96	190	1769
97	190	1754
98	190	1738
99	191	1723
100	191	1707
101	192	1693
102	192	1678
103	193	1664
104	193	1650
105	194	1636
106	194	1623
107	195	1610
108	195	1598
109	196	1586
110	196	1573
111	196	1561
112	197	1549
113	197	1537
114	198	1525
115	198	1513
116	198	1501
117	199	1490
118	199	1479
119	200	1468
120	200	1458
121	201	1447
122	201	1437
123	202	1427
124	202	1417
125	202	1407
126	203	1397
127	203	1387
128	204	1378
129	204	1369
130	205	1360
131	205	1351
132	205	1342
133	206	1334
134	206	1325
135	207	1317
136	207	1309
137	208	1301
138	208	1293
139	209	1285
140	209	1277
141	209	1268
142	210	1260
143	210	1253
144	211	1245
145	211	1238
146	212	1231
147	212	1223
148	213	1217
149	213	1210
150	214	1203
151	214	1197
152	215	1190
153	215	1184
154	216	1177
155	216	1171
156	216	1165
157	217	1158
158	217	1152
159	218	1146
160	218	1139
161	219	1133
162	219	1128
163	220	1123
164	220	1117
165	221	1112
166	221	1106
167	222	1100
168	222	1095
169	223	1090
170	223	1084
171	224	1079
172	224	1074
173	225	1069
174	225	1064
175	226	1060
176	226	1055
177	227	1050
178	227	1045
179	228	1040
180	228	1035
181	229	1030
182	229	1026
183	230	1021
184	230	1016
185	231	1012
186	231	1007
187	232	1003
188	232	998
189	233	994
190	233	989
191	234	985
192	234	981
193	235	976
194	235	972
195	236	968
196	236	963
197	236	959
198	237	955
199	237	951
200	238	947
201	239	944
202	239	940
203	239	936
204	240	932
205	240	928
206	241	924
207	241	920
208	242	916
209	242	913
210	243	909
211	243	905
212	244	902
213	244	898
214	245	895
215	245	891
216	246	888
217	246	884
218	246	880
219	247	877
220	247	873
221	248	870
222	248	866
223	249	863
224	249	859
225	250	856
226	250	853
227	251	850
228	251	847
229	252	844
230	252	840
231	252	837
232	253	834
233	253	831
234	254	828
235	254	824
236	255	821
237	255	818
238	256	815
239	256	812
240	257	809
241	257	806
242	258	804
243	258	801
244	259	798
245	259	795
246	260	793
247	260	790
248	261	788
249	261	785
250	262	782
251	262	780
252	263	777
253	263	774
254	264	772
255	264	769
256	265	767
257	265	764
258	266	761
259	266	759
260	267	756
261	267	753
262	268	751
263	268	749
264	269	746
265	269	744
266	270	741
267	270	739
268	271	736
269	271	734
270	272	732
271	272	730
272	273	727
273	273	725
274	274	722
275	274	720
276	275	718
277	275	716
278	276	714
279	276	712
280	277	709
281	277	707
282	278	705
283	278	702
284	279	700
285	279	698
286	280	696
287	280	694
288	281	691
289	281	689
290	282	688
291	282	685
292	283	683
293	283	681
294	284	679
295	284	677
296	285	675
297	285	673
298	286	671
299	286	669
300	287	667
301	287	665
302	288	663
303	288	661
304	289	659
305	289	657
306	290	655
307	291	653
308	291	652
309	292	650
310	292	648
311	293	646
312	293	644
313	294	642
314	294	641
315	295	639
316	296	637
317	296	636
318	297	634
319	297	632
320	298	630
321	298	628
322	299	626
323	299	624
324	299	623
325	300	621
326	301	619
327	301	618
328	302	616
329	302	614
330	303	612
331	303	610
332	304	609
333	304	607
334	305	605
335	305	603
336	305	601
337	306	600
338	307	598
339	307	597
340	308	595
341	308	593
342	308	591
343	309	590
344	309	588
345	310	586
346	310	585
347	311	583
348	311	581
349	312	580
350	312	578
351	313	577
352	313	575
353	314	573
354	314	572
355	315	570
356	315	568
357	316	567
358	316	565
359	317	563
360	317	562
361	318	560
362	318	559
363	319	557
364	319	556
365	320	554
366	320	553
367	321	551
368	321	550
369	322	548
370	322	547
371	323	545
372	323	544
373	324	542
374	324	541
375	325	539
376	325	538
377	326	537
378	326	535
379	327	534
380	327	532
381	328	531
382	328	529
383	329	528
384	329	526
385	330	525
386	330	523
387	331	522
388	331	521
389	332	519
390	332	518
391	333	516
392	333	515
393	334	514
394	334	512
395	335	511
396	335	509
397	336	508
398	336	507
399	337	505
400	337	504
401	338	503
402	338	501
403	339	500
404	339	499
405	340	497
406	340	496
407	341	494
408	341	493
409	342	492
410	342	490
411	342	489
412	343	488
413	344	486
414	344	485
415	345	484
416	345	483
417	346	481
418	346	480
419	346	479
420	347	477
421	347	476
422	348	475
423	348	473
424	349	472
425	349	471
426	350	470
427	350	468
428	351	467
429	351	466
430	352	465
431	352	463
432	353	462
433	353	461
434	354	460
435	354	459
436	355	457
437	355	456
438	356	455
439	356	454
440	357	453
441	357	451
442	358	450
443	358	449
444	359	448
445	359	446
446	360	445
447	360	444
448	361	443
449	361	442
450	362	440
451	362	439
452	363	438
453	363	437
454	364	436
455	364	435
456	365	433
457	365	432
458	366	431
459	366	430
460	367	429
461	367	427
462	368	426
463	368	425
464	369	424
465	369	423
466	370	422
467	370	421
468	371	420
469	371	418
470	371	417
471	372	416
472	372	415
473	373	414
474	373	413
475	374	411
476	374	410
477	375	409
478	375	408
479	376	407
480	376	406
481	377	405
482	377	404
483	377	402
484	378	401
485	378	400
486	379	399
487	379	398
488	380	397
489	380	396
490	381	395
491	382	394
492	382	393
493	383	392
494	383	391
495	384	390
496	384	389
497	385	388
498	385	387
499	386	386
500	386	385
501	387	384
502	387	383
503	388	381
504	388	380
505	389	379
506	389	378
507	390	377
508	390	376
509	390	375
510	391	374
511	391	373
512	392	372
513	392	371
514	393	370
515	393	369
516	394	368
517	394	367
518	395	366
519	395	365
520	396	364
521	396	363
522	397	362
523	397	361
524	397	360
525	398	359
526	398	358
527	399	357
528	399	356
529	400	355
530	400	353
531	401	352
532	401	351
533	402	350
534	402	349
535	403	348
536	403	347
537	403	346
538	404	345
539	404	344
540	405	343
541	405	342
542	406	341
543	406	340
544	407	339
545	407	338
546	407	337
547	408	336
548	408	335
549	409	334
550	409	333
551	410	332
552	410	331
553	411	330
554	411	329
555	412	329
556	412	328
557	412	327
558	413	326
559	413	325
560	414	324
561	414	323
562	415	322
563	415	321
564	416	320
565	416	319
566	416	318
567	417	317
568	417	316
569	418	315
570	418	314
571	419	313
572	419	312
573	420	311
574	420	310
575	421	309
576	421	309
577	422	308
578	422	307
579	422	306
580	423	305
581	423	304
582	424	303
583	424	302
584	425	301
585	425	300
586	426	299
587	426	299
588	427	298
589	427	297
590	428	296
591	428	295
592	429	294
593	429	293
594	429	292
595	430	291
596	430	290
597	431	290
598	431	289
599	432	288
600	432	287
601	433	286
602	433	285
603	434	284
604	434	283
605	435	282
606	435	282
607	436	281
608	436	280
609	436	279
610	437	278
611	437	277
612	438	276
613	438	275
614	439	275
615	439	274
616	440	273
617	441	272
618	441	271
619	441	270
620	442	270
621	442	269
622	443	268
623	443	267
624	444	266
625	444	265
626	445	264
627	445	264
628	446	263
629	446	262
630	447	261
631	447	260
632	448	259
633	448	258
634	448	258
635	449	257
636	449	256
637	450	255
638	450	254
639	451	253
640	451	253
641	452	252
642	452	251
643	453	250
644	453	249
645	454	248
646	454	248
647	455	247
648	455	246
649	456	245
650	456	244
651	457	243
652	457	243
653	458	242
654	458	241
655	458	240
656	459	239
657	459	239
658	460	238
659	460	237
660	461	236
